"82"," The former Yugoslav Republic of Macedonia","0.854",""
"133"," Timor-Leste","0.746",""
"166"," Togo","0.618",""
"101"," Tonga","0.815",""
"65"," Trinidad and Tobago","0.777",""
"97"," Tunisia","0.846",""
"71"," Turkey","0.854",""
"111"," Turkmenistan","0.704",""
"163"," Uganda","0.603",""
"84"," Ukraine","0.787",""
"42"," United Arab Emirates","0.879",""
"16"," United Kingdom","0.936",""
"10"," United States","0.911",""
"54"," Uruguay","0.882",""
"105"," Uzbekistan","0.76",""
"134"," Vanuatu","0.802",""
"71"," Venezuela (Bolivarian Republic of)","0.837",""
"115"," Viet Nam","0.861",""
"168"," Yemen","0.678",""
"139"," Zambia","0.628",""
"154"," Zimbabwe","0.603",""
